ord,TIME,LATITUDE,LONGITUDE,ALTITUDE,VEHICLE_ID,BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,FUEL_LEVEL,ENGINE_LOAD,AMBIENT_AIR_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,TERM FUEL TRIM BANK 1,FUEL_ECONOMY,LONG TERM FUEL TRIM BANK 2,FUEL_TYPE,AIR_INTAKE_TEMP,FUEL_PRESSURE,SPEED,SHORT TERM FUEL TRIM BANK 2,SHORT_TERM_FUEL_TRIM_BANK_1,ENGINE_RUNTIME,THROTTLE_POS,DTC_NUMBER,TROUBLE_CODES,TIMING_ADVANCE,EQUIV_RATIO,aqui
359,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,90,54.1,42.4,4,808,33,4.67,,,,,33,,0,,-6.2,1:13:35,21.6,MIL is OFF0 codes,,54.5,1,
360,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,91,54.1,36.9,4,800,32,4.38,,,,,33,,0,,0.8,1:13:39,20.4,MIL is OFF0 codes,,59.2,1,
361,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,91,54.9,42,4,799,34,4.64,,,,,33,,0,,-5.5,1:13:43,21.6,MIL is OFF0 codes,,59.6,1,
362,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,91,54.9,41.6,4,799,34,4.44,,,,,33,,0,,-7,1:13:47,20.8,,,57.3,1,
363,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,92,54.9,41.6,4,802,35,4.51,,,,,33,,0,,-7.8,1:13:51,20.8,,,58,1,
364,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,92,54.9,41.2,4,781,33,4.84,,,,,33,,0,,-2.3,1:13:55,21.2,,,,,
365,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,92,54.9,40,4,794,34,4.36,,,,,33,,,,-2.3,1:13:59,20.8,MIL is OFF0 codes,,,,
366,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,93,54.9,40.8,4,786,34,4.63,,,,,34,,0,,0.8,1:14:03,21.2,MIL is OFF0 codes,,,,
367,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,93,54.9,40.4,4,799,34,4.32,,,,,34,,0,,2.3,1:14:08,20.8,MIL is OFF0 codes,,,,
368,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,94,54.9,38.8,4,805,34,4.54,,,,,34,,0,,3.9,1:14:12,20.8,MIL is OFF0 codes,,,,
369,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,94,54.9,42,4,802,33,4.49,,,,,34,,0,,3.9,1:14:16,21.2,MIL is OFF0 codes,,,,
370,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,94,54.9,41.2,4,805,34,4.52,,,,,34,,0,,-2.3,1:14:20,20.8,MIL is OFF0 codes,,,,
371,1.51E+12,-587.231.248,-3.518.028.907,47,control1,100,94,54.9,39.6,4,906,48,4.53,,,,,32,,13,,2.3,1:14:24,20.8,MIL is OFF0 codes,,,,
372,1.51E+12,-58.721.962,-3.518.034.687,45,control1,100,95,54.9,38.4,4,1137,19,4.55,,,,,32,,16,,-1.6,1:14:28,20.8,MIL is OFF0 codes,,,,
373,1.51E+12,-587.203.878,-3.518.042.908,46,control1,100,95,54.9,40.8,4,1271,20,4.69,,,,,33,,13,,4.7,1:14:32,21.2,MIL is OFF0 codes,,,,
374,1.51E+12,-587.192.844,-3.518.050.011,45,control1,100,95,55.7,20,4,806,36,3.12,,,,,33,,4,,6.2,1:14:36,20,MIL is OFF0 codes,,,,
375,1.51E+12,-587.187.914,-3.518.052.938,43,control1,100,96,55.7,18.4,4,813,37,2.79,,,,,33,,1,,-5.5,1:14:40,17.6,MIL is OFF0 codes,,,,
376,1.51E+12,-587.187.914,-3.518.052.938,43,control1,100,96,55.3,35.7,4,810,32,4.17,,,,,34,,0,,3.9,1:14:44,20.4,MIL is OFF0 codes,,,,
377,1.51E+12,-587.187.914,-3.518.052.938,43,control1,100,96,54.9,42,4,797,36,4.68,,,,,34,,0,,3.1,1:14:48,21.6,MIL is OFF0 codes,,,,
378,1.51E+12,-587.187.914,-3.518.052.938,43,control1,100,97,54.9,38.8,4,792,32,4.12,,,,,34,,0,,0.8,1:14:52,20.4,MIL is OFF0 codes,,,,
379,1.51E+12,-587.171.022,-3.518.061.388,43,control1,100,97,54.5,36.5,4,806,32,4.21,,,,,34,,0,,0.8,1:14:56,20.4,MIL is OFF0 codes,,,,
380,1.51E+12,-58.715.211,-3.518.071.181,43,control1,100,99,54.1,36.9,4,783,33,4.2,,,,,34,,9,,-0.8,1:15:22,20.4,MIL is OFF0 codes,,,,
381,1.51E+12,-587.143.091,-3.518.074.953,43,control1,100,99,54.1,37.6,4,796,35,4.23,,,,,34,,9,,3.9,1:15:26,20.4,MIL is OFF0 codes,4300,,,
382,1.51E+12,-587.135.658,-3.518.079.373,42,control1,100,99,54.1,39.6,4,802,34,4.29,,,,,34,,8,,3.9,1:15:30,20.8,MIL is OFF0 codes,4300,,,
383,1.51E+12,-587.128.708,-3.518.083.411,42,control1,100,100,54.5,37.3,4,793,35,4.11,,,,,34,,,,2.3,1:15:34,20.8,MIL is OFF0 codes,,,,
384,1.51E+12,-587.128.708,-3.518.083.411,42,control1,100,100,54.5,38.8,4,797,36,4.21,,,,,34,,1,,,1:15:38,20.8,MIL is OFF0 codes,,,,
385,1.51E+12,-587.128.708,-3.518.083.411,42,control1,100,100,54.5,40,4,781,33,4.37,,,,,34,,0,,-1.6,1:15:42,20.8,MIL is OFF0 codes,,,,
386,1.51E+12,-587.128.708,-3.518.083.411,42,control1,100,99,54.9,85.5,4,803,35,12.85,,,,,34,,0,,-4.7,1:15:46,31,MIL is OFF0 codes,,,,
387,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,99,55.3,53.3,4,797,36,10.7,,,,,,,0,,-3.9,1:15:50,29.4,MIL is OFF0 codes,,,,
388,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,98,55.7,63.5,4,793,35,9.75,,,,,34,,0,,3.9,1:15:54,28.2,MIL is OFF0 codes,,,,
389,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,97,56.1,64.7,4,796,35,11.4,,,,,34,,0,,0.8,1:15:59,29.8,,,,,
390,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,96,56.5,52.9,4,802,36,10.5,,,,,34,,0,,0,1:16:02,29,MIL is OFF0 codes,,,,
391,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,95,56.9,52.2,4,802,35,10.45,,,,,34,,0,,0,1:16:07,29,,,,,
392,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,94,56.9,18.4,4,811,34,3.38,,,,,34,,,,9.4,1:16:11,20.4,,,,,
393,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,94,56.5,18.8,4,795,32,2.88,,,,,34,,0,,10.9,1:16:15,18.4,MIL is OFF0 codes,,,,
394,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,93,55.7,38.4,4,790,33,4.11,,,,,34,,0,,3.9,1:16:19,20.4,MIL is OFF0 codes,,,,
395,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,92,55.3,37.6,4,795,34,4.35,,,,,34,,0,,-1.6,1:16:22,20.4,,,,,
396,1.51E+12,-587.124.457,-3.518.084.972,42,control1,100,91,55.3,37.3,4,792,61,3.98,,,,,34,,,,5.5,1:16:27,20.4,MIL is OFF0 codes,,,,
397,1.51E+12,-58.711.666,-3.518.089.238,42,control1,100,91,55.3,38,4,1467,21,4.19,,,,,33,,10,,4.7,1:16:31,20.4,MIL is OFF0 codes,,,,
398,1.51E+12,-587.105.263,-3.518.095.109,42,control1,100,90,55.3,35.3,4,1010,27,4.11,,,,,34,,9,,-0.8,1:16:35,20.4,MIL is OFF0 codes,,,,
399,1.51E+12,-587.096.157,-3.518.100.001,42,control1,100,89,55.3,67.1,4,778,41,7.77,,,,,34,,9,,-3.1,1:16:39,25.9,MIL is OFF0 codes,,,,
400,1.51E+12,-587.087.571,-3.518.104.257,41,control1,100,89,55.7,89,4,822,32,11.44,,,,,34,,9,,-7,1:16:43,30.2,MIL is OFF0 codes,,,,
401,1.51E+12,-587.078.304,-3.518.109.612,40,control1,100,90,56.5,47.1,4,823,32,9.27,,,,,34,,,,1.6,1:16:47,27.5,MIL is OFF0 codes,,,,
402,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,90,55.3,44.7,4,818,35,4.81,,,,,35,,3,,-2.3,1:16:51,21.6,MIL is OFF0 codes,,,,
403,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,92,54.9,42,4,800,33,4.42,,,,,35,,0,,1.6,1:17:22,20.8,MIL is OFF0 codes,,,,
404,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,93,54.9,39.2,4,806,34,4.47,,,,,35,,0,,1.6,1:17:26,20.8,MIL is OFF0 codes,,,,
405,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,93,54.9,42.4,4,802,35,4.65,,,,,35,,,,-3.1,1:17:30,21.2,MIL is OFF0 codes,,,,
406,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,94,54.5,41.6,4,795,35,4.55,,,,,35,,0,,-3.1,1:17:34,20.8,MIL is OFF0 codes,,,,
407,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,94,54.5,41.2,4,793,34,4.57,,,,,35,,0,,-2.3,1:17:38,20.8,MIL is OFF0 codes,,,,
408,1.51E+12,-587.070.635,-3.518.111.858,43,control1,100,94,54.5,42,4,792,51,4.65,,,,,35,,2,,-3.1,1:17:42,21.2,MIL is OFF0 codes,,,,
409,1.51E+12,-587.061.461,-3.518.114.782,41,control1,100,94,54.5,40.8,4,982,34,4.41,,,,,33,,,,3.1,1:17:46,20.4,MIL is OFF0 codes,,,,
410,1.51E+12,-587.046.021,-3.518.123.007,41,control1,100,95,54.5,38,4,1361,21,5.32,,,,,33,,21,,0.8,1:17:50,27.1,MIL is OFF0 codes,,,,
411,1.51E+12,-587.026.201,-3.518.132.541,42,control1,100,95,54.5,73.3,4,1016,54,2.8,,,,,33,,24,,0.8,1:17:54,17.6,MIL is OFF0 codes,,,,
412,1.51E+12,-587.003.547,-3.518.143.649,44,control1,100,95,54.5,36.1,4,1227,52,4.29,,,,,33,,,,0.8,1:17:58,20.4,MIL is OFF0 codes,,,,
413,1.51E+12,-586.977.944,-3.518.156.321,46,control1,100,96,54.5,37.6,4,1377,46,4.42,,,,,32,,27,,2.3,1:18:02,20.4,MIL is OFF0 codes,,,,
414,1.51E+12,-586.952.731,-3.518.169.415,46,control1,100,96,55.3,56.5,4,1376,43,4.58,,,,,32,,28,,5.5,1:18:06,20.4,MIL is OFF0 codes,,,,
415,1.51E+12,-58.692.813,-3.518.180.705,47,control1,100,97,55.7,59.6,4,1322,20,11.21,,,,,33,,,,4.7,1:18:10,21.2,MIL is OFF0 codes,,,,
416,1.51E+12,-586.910.632,-3.518.189.252,48,control1,100,97,55.7,35.7,4,960,35,4.76,,,,,34,,10,,4.7,1:18:14,21.6,MIL is OFF0 codes,,,,
417,1.51E+12,-586.902.303,-351.819.385,46,control1,100,97,55.7,20.8,4,801,34,3.01,,,,,35,,4,,4.7,1:18:18,18.8,MIL is OFF0 codes,,,,
418,1.51E+12,-586.902.303,-351.819.385,46,control1,100,97,55.3,32.2,4,798,33,4.4,,,,,35,,1,,-0.8,1:18:22,22.7,MIL is OFF0 codes,,,,
419,1.51E+12,-586.898.001,-3.518.196.261,46,control1,100,98,54.9,20.8,4,789,32,5.92,,,,,35,,0,,0,1:18:26,24.3,MIL is OFF0 codes,,,,
420,1.51E+12,-586.898.001,-3.518.196.261,46,control1,100,98,54.5,20.8,4,792,34,6.03,,,,,35,,0,,0,1:18:30,24.3,MIL is OFF0 codes,,,,
421,1.51E+12,-586.898.001,-3.518.196.261,46,control1,100,98,54.5,20.8,4,797,33,5.99,,,,,,,0,,0,1:18:34,23.9,MIL is OFF0 codes,,,,
422,1.51E+12,-586.898.001,-3.518.196.261,46,control1,100,99,54.1,20.8,4,848,19,5.55,,,,,34,,12,,10.2,1:18:52,23.5,MIL is OFF0 codes,,,,
423,1.51E+12,-586.886.142,-3.518.201.422,45,control1,100,99,54.1,32.9,4,1001,36,8.08,,,,,33,,20,,4.7,1:18:56,26.7,MIL is OFF0 codes,,,,
424,1.51E+12,-586.871.921,-3.518.210.139,44,control1,100,100,54.5,36.9,4,1135,40,8.69,,,,,33,,22,,-2.3,1:19:00,27.1,MIL is OFF0 codes,,,,
425,1.51E+12,-586.853.308,-3.518.220.356,44,control1,100,99,54.5,49,4,1047,24,7.86,,,,,35,,18,,0,1:19:04,26.7,,,,,
426,1.51E+12,-586.836.947,-3.518.229.004,45,control1,100,99,54.5,49.4,4,880,36,8.52,,,,,35,,15,,-0.8,1:19:08,27.1,,,,,
427,1.51E+12,-586.822.924,-3.518.235.206,46,control1,100,98,54.5,49.8,4,740,36,8.41,,,,,35,,7,,-0.8,1:19:12,26.7,,,,,
428,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,98,54.9,49.4,4,792,37,7.74,,,,,36,,,,0.8,1:19:16,26.3,MIL is OFF0 codes,,,,
429,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,97,54.9,44.3,4,783,34,7.33,,,,,36,,0,,3.1,1:19:20,25.9,MIL is OFF0 codes,,,,
430,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,97,54.9,43.5,4,795,36,7.32,,,,,36,,0,,3.9,1:19:24,25.9,MIL is OFF0 codes,,,,
431,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,96,54.9,47.8,4,792,33,8.07,,,,,36,,,,-1.6,1:19:28,26.7,MIL is OFF0 codes,,,,
432,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,95,54.9,48.2,4,808,33,8.2,,,,,36,,0,,3.9,1:19:32,26.7,MIL is OFF0 codes,,,,
433,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,95,54.9,42.4,4,802,33,7.28,,,,,36,,0,,3.9,1:19:36,25.9,MIL is OFF0 codes,,66.7,1,
434,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,94,54.9,43.1,4,778,36,7.36,,,,,36,,0,,-0.8,1:19:40,25.9,MIL is OFF0 codes,,66.3,1,
435,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,93,54.9,43.1,4,805,34,7.3,,,,,36,,0,,3.9,1:19:44,25.9,MIL is OFF0 codes,,65.9,1,
436,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,93,54.9,40.8,4,796,44,6.76,,,,,36,,0,,3.9,1:19:48,25.1,MIL is OFF0 codes,,66.3,1,
437,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,92,54.9,39.6,4,843,35,6.79,,,,,36,,0,,4.7,1:19:52,25.1,MIL is OFF0 codes,,66.7,1,
438,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,91,54.9,28.2,4,794,34,2.79,,,,,37,,0,,-2.3,1:19:56,18,MIL is OFF0 codes,,,,
439,1.51E+12,-586.814.207,-3.518.237.919,46,control1,100,91,54.9,39.6,4,798,59,6.89,,,,,36,,6,,-0.8,1:20:00,25.1,MIL is OFF0 codes,,,,
440,1.51E+12,-58.680.812,-3.518.239.406,43,control1,100,90,54.9,39.6,4,1538,54,6.62,,,,,35,,,,-3.9,1:20:04,25.1,MIL is OFF0 codes,,,,
441,1.51E+12,-586.717.848,-3.518.269.172,41,control1,100,90,54.9,12.2,4,1594,52,2.85,,,,,34,,23,,-10.9,1:20:08,18.4,MIL is OFF0 codes,,,,
442,1.51E+12,-586.691.629,-3.518.292.823,40,control1,100,91,54.9,20.4,4,964,22,2.96,,,,,36,,37,,2.3,1:20:23,18.8,MIL is OFF0 codes,,,,
443,1.51E+12,-586.668.655,-3.518.322.235,37,control1,100,91,54.5,21.6,4,1007,22,2.88,,,,,36,,38,,4.7,1:20:27,18.4,MIL is OFF0 codes,,,,
444,1.51E+12,-586.649.133,-3.518.354.887,36,control1,100,91,54.5,45.5,4,714,21,8.36,,,,,36,,39,,-0.8,1:20:31,27.1,MIL is OFF0 codes,,,,
445,1.51E+12,-586.630.828,-3.518.389.428,34,control1,100,91,54.5,44.3,4,1912,21,8.68,,,,,35,,39,,-6.2,1:20:35,27.5,MIL is OFF0 codes,,,,
446,1.51E+12,-586.611.799,-3.518.424.376,32,control1,100,91,54.5,42.7,4,1944,21,9.08,,,,,35,,39,,-0.8,1:20:39,27.5,MIL is OFF0 codes,,,,
447,1.51E+12,-586.595.293,-3.518.459.274,33,control1,100,90,54.9,43.5,4,1906,20,9.71,,,,,35,,36,,0,1:20:43,28.2,MIL is OFF0 codes,,,,
448,1.51E+12,-586.579.117,-3.518.491.998,35,control1,100,90,54.9,51.8,4,1730,22,7.64,,,,,35,,33,,3.9,1:20:47,26.3,MIL is OFF0 codes,,,,
449,1.51E+12,-586.562.501,-3.518.521.951,36,control1,100,90,54.9,52.5,4,1633,29,8.2,,,,,35,,33,,-1.6,1:20:51,26.7,MIL is OFF0 codes,,,,
450,1.51E+12,-586.545.975,-3.518.551.978,37,control1,100,89,54.9,52.9,4,1635,42,8.33,,,,,34,,,,3.9,1:20:55,27.1,MIL is OFF0 codes,,,,
451,1.51E+12,-58.652.855,-3.518.581.174,38,control1,100,89,54.9,48.2,4,1120,42,8.13,,,,,34,,33,,-2.3,1:20:59,26.7,MIL is OFF0 codes,,,,
452,1.51E+12,-586.512.495,-3.518.612.632,36,control1,100,89,54.9,44.7,4,1142,42,7.86,,,,,34,,35,,3.9,1:21:03,26.3,MIL is OFF0 codes,,,,
453,1.51E+12,-586.496.385,-3.518.642.243,37,control1,100,89,54.9,45.5,4,1158,41,7.85,,,,,34,,34,,-1.6,1:21:07,26.7,MIL is OFF0 codes,,,,
454,1.51E+12,-586.479.109,-3.518.672.427,37,control1,100,89,54.9,37.3,4,1153,39,6.71,,,,,35,,,,-6.2,1:21:11,24.3,MIL is OFF0 codes,,,,
455,1.51E+12,-586.463.508,-351.870.471,38,control1,100,90,54.9,41.2,4,1151,38,6.86,,,,,35,,34,,4.7,1:21:15,25.1,MIL is OFF0 codes,,,,
456,1.51E+12,-586.448.185,-3.518.736.758,37,control1,100,89,54.9,42,4,1149,40,6.8,,,,,35,,35,,-1.6,1:21:19,25.1,MIL is OFF0 codes,,,,
457,1.51E+12,-586.429.893,-3.518.766.844,36,control1,100,90,54.9,42.4,4,1166,42,6.63,,,,,35,,,,3.9,1:21:23,25.1,MIL is OFF0 codes,,,,
458,1.51E+12,-586.412.015,-3.518.796.273,36,control1,100,89,54.9,41.6,4,1187,39,6.76,,,,,35,,35,,-1.6,1:21:27,25.1,MIL is OFF0 codes,,,,
459,1.51E+12,-586.391.011,-3.518.825.622,35,control1,100,90,54.9,40.8,4,1202,36,6.75,,,,,,,36,,-1.6,1:21:32,25.1,MIL is OFF0 codes,4300,,,
460,1.51E+12,-586.369.775,-3.518.853.976,33,control1,100,90,54.9,40.4,4,1188,36,6.91,,,,,35,,,,3.1,1:21:36,25.1,MIL is OFF0 codes,4300,,,
461,1.51E+12,-586.346.071,-3.518.880.577,34,control1,100,90,54.9,40.4,4,1169,36,6.67,,,,,35,,35,,3.1,1:21:40,24.7,MIL is OFF0 codes,4300,,,
462,1.51E+12,-586.324.681,-3.518.907.439,35,control1,100,89,54.9,40.8,4,1167,35,6.51,,,,,35,,36,,-2.3,1:21:44,24.7,MIL is OFF0 codes,4300,,,
463,1.51E+12,-586.303.115,-3.518.936.345,36,control1,100,89,54.9,41.2,4,1188,32,6.65,,,,,35,,36,,3.9,1:21:48,24.7,MIL is OFF0 codes,4300,,,
464,1.51E+12,-586.281.523,-3.518.964.567,35,control1,100,89,54.9,42.4,4,1207,35,6.67,,,,,35,,35,,3.9,1:21:52,20.8,MIL is OFF0 codes,,,,
465,1.51E+12,-586.259.343,-3.518.992.478,35,control1,100,89,54.9,38.8,4,1183,34,9,,,,,35,,35,,-2.3,1:21:56,27.5,MIL is OFF0 codes,,,,
466,1.51E+12,-586.236.207,-3.519.019.988,34,control1,100,89,54.9,42.7,4,1167,35,9.92,,,,,35,,34,,4.7,1:22:00,28.2,MIL is OFF0 codes,,,,
467,1.51E+12,-586.214.035,-3.519.046.879,35,control1,100,89,54.9,45.1,4,1121,22,10.27,,,,,36,,31,,0,1:22:04,28.6,MIL is OFF0 codes,,,,
468,1.51E+12,-586.194.724,-3.519.070.376,34,control1,100,89,54.9,46.7,4,1019,22,10.06,,,,,37,,29,,,1:22:08,28.6,MIL is OFF0 codes,,,,
469,1.51E+12,-586.178.224,-3.519.094.597,32,control1,100,89,55.3,45.9,4,966,21,10.05,,,,,37,,28,,-0.8,1:22:12,28.6,,,,,
470,1.51E+12,-586.160.175,-3.519.116.467,31,control1,100,89,55.3,22,4,943,24,3.28,,,,,38,,27,,-0.8,1:22:16,,MIL is OFF0 codes,,,,
471,1.51E+12,-586.143.982,-3.519.137.162,33,control1,100,89,54.9,18.8,4,895,26,3.43,,,,,38,,26,,12.5,1:22:20,20,,,,,
472,1.51E+12,-586.127.882,-3.519.156.925,33,control1,100,89,54.9,36.9,4,754,40,5.83,,,,,37,,25,,4.7,1:22:24,23.9,,,,,
473,1.51E+12,-58.611.217,-351.917.724,34,control1,100,88,54.9,36.5,4,1281,38,5.99,,,,,36,,,,-1.6,1:22:28,23.9,MIL is OFF0 codes,,,,
474,1.51E+12,-58.609.582,-351.919.941,35,control1,100,88,54.5,20.8,4,1381,38,,,,,,35,,29,,3.1,1:22:32,20.4,MIL is OFF0 codes,,,,
475,1.51E+12,-586.076.069,-3.519.221.316,35,control1,100,88,54.5,30.6,4,1449,36,3.38,,,,,35,,31,,-1.6,1:22:36,19.6,MIL is OFF0 codes,,,,
476,1.51E+12,-586.058.223,-3.519.246.406,33,control1,100,88,54.5,65.1,4,1530,41,6.78,,,,,35,,,,-1.6,1:22:40,25.5,MIL is OFF0 codes,,,,
477,1.51E+12,-58.603.896,-3.519.271.184,34,control1,100,88,54.5,31.4,4,1031,47,3.5,,,,,35,,32,,-1.6,1:22:44,19.2,MIL is OFF0 codes,,,,
478,1.51E+12,-5.860.193,-3.519.297.102,34,control1,100,89,54.5,60,4,1070,44,6.04,,,,,35,,33,,-0.8,1:22:48,24.7,MIL is OFF0 codes,,,,
479,1.51E+12,-585.998.623,-3.519.322.922,35,control1,100,89,54.5,54.9,4,1119,43,10.97,,,,,35,,34,,6.2,1:22:52,30.6,MIL is OFF0 codes,,,,
480,1.51E+12,-585.977.962,-3.519.350.446,35,control1,100,89,55.3,55.3,4,1164,39,9.1,,,,,35,,36,,-3.9,1:22:56,27.5,MIL is OFF0 codes,,,,
481,1.51E+12,-585.955.597,-3.519.377.728,36,control1,100,89,55.3,30.2,4,1189,39,4.91,,,,,35,,36,,-3.9,1:23:00,22.7,MIL is OFF0 codes,,,,
482,1.51E+12,-585.934.044,-3.519.405.819,35,control1,100,89,54.9,39.6,4,1219,37,9.62,,,,,35,,37,,3.1,1:23:04,25.1,MIL is OFF0 codes,,,,
483,1.51E+12,-585.910.787,-3.519.434.628,34,control1,100,89,53.3,48.2,4,1231,33,6.94,,,,,36,,35,,7,1:23:08,25.5,MIL is OFF0 codes,,62.7,1,
484,1.51E+12,-585.888.357,-3.519.463.017,35,control1,100,89,53.7,44.3,4,1154,35,6.34,,,,,36,,34,,3.9,1:23:12,24.7,MIL is OFF0 codes,,,,
485,1.51E+12,-585.866.819,-3.519.490.787,34,control1,100,89,53.7,52.9,4,1142,35,7.08,,,,,36,,,,-2.3,1:23:16,25.9,MIL is OFF0 codes,,,,
486,1.51E+12,-58.584.577,-3.519.518.978,34,control1,100,89,53.7,49.4,4,1142,36,6.52,,,,,36,,34,,-2.3,1:23:20,25.1,MIL is OFF0 codes,,,,
487,1.51E+12,-585.823.805,-3.519.545.889,34,control1,100,89,53.7,51.4,4,1142,35,6.78,,,,,36,,34,,3.1,1:23:24,25.5,MIL is OFF0 codes,,,,
488,1.51E+12,-58.578.291,-3.519.599.614,35,control1,100,89,54.1,52.2,4,1149,36,7.23,,,,,36,,35,,-2.3,1:23:29,26.3,MIL is OFF0 codes,,,,
489,1.51E+12,-585.760.871,-3.519.626.449,35,control1,100,88,54.1,56.1,4,1153,34,8.11,,,,,36,,34,,-4.7,1:23:33,27.1,MIL is OFF0 codes,,,,
490,1.51E+12,-585.739.204,-3.519.654.253,37,control1,100,88,54.1,52.5,4,1150,34,8.21,,,,,36,,34,,0,1:23:37,26.7,MIL is OFF0 codes,,,,
491,1.51E+12,-58.571.912,-3.519.679.915,37,control1,100,88,54.1,12.5,4,1128,36,2.37,,,,,36,,33,,-2.3,1:23:41,18.4,MIL is OFF0 codes,,,,
492,1.51E+12,-585.698.846,-351.970.623,37,control1,100,88,53.7,18.8,4,1116,36,2.78,,,,,36,,,,-2.3,1:23:45,18.4,MIL is OFF0 codes,,,,
493,1.51E+12,-585.678.562,-3.519.732.448,37,control1,100,88,53.7,48.6,4,1117,34,6.94,,,,,36,,31,,3.9,1:23:49,25.9,MIL is OFF0 codes,,,,
494,1.51E+12,-585.659.188,-3.519.757.638,38,control1,100,88,53.7,47.8,4,1555,36,8.29,,,,,36,,,,4.7,1:23:53,26.7,MIL is OFF0 codes,,,,
495,1.51E+12,-58.563.964,-351.978.267,39,control1,100,88,53.7,20.4,4,1558,38,3.22,,,,,36,,32,,9.4,1:23:57,19.2,MIL is OFF0 codes,,,,
496,1.51E+12,-585.620.737,-351.980.751,39,control1,100,88,53.7,20.8,4,1529,40,3.41,,,,,35,,31,,-6.2,1:24:01,19.2,MIL is OFF0 codes,,,,
497,1.51E+12,-585.602.602,-351.983.238,39,control1,100,88,54.1,20.8,4,1517,39,2.85,,,,,35,,30,,3.1,1:24:05,18.8,MIL is OFF0 codes,,,,
498,1.51E+12,-585.583.435,-3.519.855.607,40,control1,100,88,54.1,57.3,4,1498,31,8.68,,,,,35,,,,3.9,1:24:09,27.5,MIL is OFF0 codes,,,,
499,1.51E+12,-58.556.466,-3.519.877.682,42,control1,100,88,54.1,18,4,1462,19,3.41,,,,,36,,30,,12.5,1:24:13,19.6,MIL is OFF0 codes,,,,
500,1.51E+12,-585.550.115,-3.519.896.232,43,control1,100,88,54.1,27.8,4,1229,31,3.35,,,,,36,,23,,4.7,1:24:17,19.6,MIL is OFF0 codes,,,,
501,1.51E+12,-58.553.677,-3.519.913.694,42,control1,100,88,53.7,70.6,4,1113,31,10.08,,,,,36,,23,,3.1,1:24:21,29.4,MIL is OFF0 codes,,,,
502,1.51E+12,-585.523.261,-3.519.931.212,42,control1,100,88,54.9,72.5,4,1143,20,12.4,,,,,36,,21,,-10.2,1:24:25,30.2,MIL is OFF0 codes,,,,
503,1.51E+12,-585.511.174,-3.519.947.898,42,control1,100,88,54.9,59.6,4,988,25,12.79,,,,,37,,,,-3.9,1:24:29,30.6,MIL is OFF0 codes,,,,
504,1.51E+12,-585.501.701,-351.996.203,42,control1,100,88,56.1,58.8,4,829,40,14.43,,,,,38,,15,,-3.1,1:24:33,31.4,MIL is OFF0 codes,,,,
505,1.51E+12,-585.492.895,-3.519.972.974,42,control1,100,89,56.5,62.4,4,725,20,15,,,,,38,,11,,0,1:24:37,31.4,MIL is OFF0 codes,,,,
506,1.51E+12,-585.485.669,-3.519.980.735,43,control1,100,89,56.5,59.2,4,842,47,13.76,,,,,38,,8,,-3.1,1:24:41,31,MIL is OFF0 codes,,,,
507,1.51E+12,-585.481.014,-3.519.989.699,43,control1,100,89,56.9,25.1,4,736,31,3.96,,,,,38,,7,,0,1:24:45,20.8,MIL is OFF0 codes,,,,
